"X","Y","Z"
542669.59,4316254.41,662.5
542670.5,4316247.89,662.5
542671.87,4316246.97,662.5
542677.86,4316253.79,662.5
542678.81,4316236.99,662.5
542682.59,4316228.24,662.5
542692.85,4316213.26,662.5
542661.74,4316339.53,665
542665.43,4316313.15,665
542670.94,4316309.41,665
542695.21,4316337.02,665
542699.05,4316269,665
542714.37,4316233.57,665
542755.92,4316172.94,665
542653.89,4316424.64,667.5
542660.36,4316378.41,667.5
542670.02,4316371.85,667.5
542712.57,4316420.24,667.5
542719.3,4316301.02,667.5
542746.15,4316238.9,667.5
542818.99,4316132.61,667.5
544967.65,4316241.43,667.5
544951.7,4316246.44,667.5
544953.98,4316219.95,667.5
544968.01,4316228.53,667.5
544971.08,4316234.08,667.5
544970.55,4316238.7,667.5
542646.05,4316509.76,670
542655.29,4316443.67,670
542669.1,4316434.29,670
542729.92,4316503.47,670
542739.55,4316333.03,670
542777.92,4316244.24,670
542882.06,4316092.29,670
544972.47,4316249.02,670
544923.45,4316264.42,670
544930.44,4316182.95,670
544973.6,4316209.33,670
544983.02,4316226.41,670
544981.41,4316240.6,670
542638.2,4316594.88,672.5
542650.22,4316508.93,672.5
542668.18,4316496.73,672.5
542747.28,4316586.7,672.5
542759.79,4316365.05,672.5
542809.7,4316249.57,672.5
542945.13,4316051.96,672.5
544977.3,4316256.6,672.5
544895.2,4316282.39,672.5
544906.9,4316145.95,672.5
544979.18,4316190.14,672.5
544994.97,4316218.73,672.5
544992.27,4316242.5,672.5
542630.35,4316680,675
542645.15,4316574.19,675
542667.26,4316559.17,675
542764.63,4316669.93,675
542776.78,4316454.68,675
542778.82,4316395.24,675
542789.14,4316375.99,675
542841.48,4316254.9,675
543008.2,4316011.64,675
544982.12,4316264.19,675
544880.17,4316296.21,675
544877.85,4316300.09,675
544861.94,4316303.55,675
544862.22,4316288.58,675
544871.93,4316242.24,675
544883.36,4316108.95,675
544984.77,4316170.94,675
545006.91,4316211.06,675
545003.12,4316244.4,675
544787.16,4316577.32,675
544796.66,4316576.95,675
544800.21,4316577.63,675
544801.97,4316574.52,675
544802.1,4316570.39,675
544801.27,4316568.34,675
544800.57,4316556.49,675
544782.51,4316549.81,675
542622.5,4316765.12,677.5
542640.08,4316639.45,677.5
542666.34,4316621.61,677.5
542781.98,4316753.15,677.5
542787.64,4316653.04,677.5
542795.55,4316421.99,677.5
542835.68,4316347.18,677.5
542873.26,4316260.24,677.5
543018.72,4316047.99,677.5
543042.74,4316016.29,677.5
543067.24,4316001.09,677.5
543080.43,4315996.38,677.5
545624.42,4316055.63,677.5
545614.91,4316060.07,677.5
545606.22,4316056.24,677.5
545604.55,4316052.41,677.5
544986.95,4316271.77,677.5
544899.29,4316299.3,677.5
544888.66,4316317.07,677.5
544815.73,4316332.95,677.5
544817.05,4316264.36,677.5
544855.34,4316081.55,677.5
544842.2,4316073.41,677.5
544868.64,4316076.25,677.5
544869.67,4316077.62,677.5
544990.2,4316149.83,677.5
545001.39,4316158.5,677.5
545000.87,4316170.97,677.5
545018.84,4316203.51,677.5
545016.84,4316221.15,677.5
545013.98,4316246.31,677.5
545529.93,4316725.67,677.5
545529.75,4316726.92,677.5
545530.31,4316726.94,677.5
545530.63,4316726.77,677.5
545530.7,4316726.52,677.5
545532.82,4316724.96,677.5
545531.82,4316724.4,677.5
544746.41,4316692.86,677.5
544752.85,4316712.24,677.5
544765.17,4316720.18,677.5
544760.31,4316707.72,677.5
544733.16,4316532.91,677.5
544745.18,4316604.03,677.5
544798.28,4316601.94,677.5
544818.1,4316605.75,677.5
544827.97,4316588.36,677.5
544828.67,4316565.31,677.5
544824.01,4316553.87,677.5
544820.15,4316487.66,677.5
544775.99,4316471.32,677.5
544759.84,4316439.11,677.5
544738.21,4316480.18,677.5
544738.41,4316489.91,677.5
544734.07,4316497.99,677.5
542614.65,4316850.23,680
542635.01,4316704.71,680
542665.42,4316684.05,680
542795.79,4316832.35,680
542797.38,4316831.03,680
542797.97,4316829.79,680
542798.47,4316827.72,680
542799.39,4316826.4,680
542800.05,4316823.63,680
542799.69,4316816.23,680
542812.28,4316448.74,680
542882.21,4316318.37,680
542905.03,4316265.57,680
542993.37,4316136.68,680
543057.8,4316051.64,680
543123.52,4316010.86,680
543158.91,4315998.24,680
545661.76,4316061.68,680
545626.43,4316078.17,680
545594.11,4316063.94,680
545587.92,4316049.72,680
544991.77,4316279.36,680
544918.41,4316302.4,680
544899.47,4316334.06,680
544800.7,4316355.56,680
544842.75,4316428.86,680
544841.08,4316442.08,680
544846.76,4316539.4,680
544855.24,4316560.23,680
544853.97,4316602.2,680
544835.99,4316633.88,680
544799.9,4316626.93,680
544708.46,4316630.52,680
544773.6,4316700.19,680
544789.14,4316739.97,680
544794.7,4316743.39,680
544809.68,4316753.1,680
544810.13,4316788.94,680
544810.16,4316793.38,680
544782.57,4316822.54,680
544765.28,4316824.63,680
544731.85,4316850.11,680
544721.3,4316853.23,680
544709.14,4316853.15,680
544709.91,4316846.38,680
544715,4316843.28,680
544759.11,4316817.92,680
544777.58,4316750.03,680
544735.76,4316723.11,680
544705.23,4316631.16,680
544704.89,4316629.66,680
544704.41,4316628.84,680
544704.23,4316626.57,680
544707.14,4316515.13,680
544722.08,4316487.26,680
544721.4,4316453.76,680
544769.53,4316362.34,680
544770.14,4316330.57,680
544771.87,4316240.13,680
544797.36,4316118.44,680
544683.12,4316047.65,680
544912.94,4316072.36,680
544921.87,4316084.25,680
544995.6,4316128.43,680
545019.71,4316147.09,680
545018.6,4316173.96,680
545030.76,4316195.99,680
545026.21,4316236.08,680
545024.83,4316248.21,680
545522.52,4316714.02,680
545519.59,4316733.38,680
545528.38,4316733.72,680
545533.36,4316731.05,680
545534.46,4316727.12,680
545567.39,4316702.97,680
545551.85,4316694.2,680
544734.42,4317063.36,680
544733.6,4317072.17,680
544728.4,4317070.98,680
544724.03,4317069.86,680
544720.79,4317052.25,680
544731.28,4317060.67,680
545670.57,4316389.45,680
545653.32,4316365.06,680
545637.36,4316361.25,680
545636.82,4316370.15,680
545637.57,4316374.92,680
545639.34,4316385.99,680
545657.06,4316419.69,680
545676,4316424.16,680
545685.53,4316418.52,680
545686.42,4316402.17,680
542606.8,4316935.35,682.5
542629.94,4316769.97,682.5
542664.5,4316746.49,682.5
542785.95,4316884.64,682.5
542799.68,4316873.25,682.5
542804.87,4316862.44,682.5
542809.14,4316844.5,682.5
542817.14,4316833.11,682.5
542822.87,4316809.11,682.5
542819.78,4316744.97,682.5
542829.02,4316475.49,682.5
542928.75,4316289.56,682.5
542936.81,4316270.9,682.5
542968.02,4316225.36,682.5
